protocol,split,segment,fold,metric,slope,r_squared,range
fullcatalog,n/a,new,7,f1,0.00034435261707988824,0.004831090752934393,0.0048209366391184574
fullcatalog,n/a,new,8,f1,-0.007575757575757574,0.730610966991681,0.007851239669421483
fullcatalog,n/a,new,9,f1,-0.008849363197189281,0.924178679817906,0.0061923583662714075
fullcatalog,n/a,regular,0,f1,-0.014711796041871015,0.9310871692947541,0.012113462264791153
fullcatalog,n/a,regular,1,f1,-0.023697675243657592,0.9689560519445161,0.0189628554214296
fullcatalog,n/a,regular,2,f1,-0.02174915004829879,0.9841136489194778,0.01756032756773438
fullcatalog,n/a,regular,3,f1,-0.017001993646003282,0.9485309801215498,0.012981206780598602
fullcatalog,n/a,regular,4,f1,-0.016516819376475568,0.968827112652376,0.01505743040685427
fullcatalog,n/a,regular,5,f1,-0.023380454362135924,0.9636940720517047,0.0177674035358881
fullcatalog,n/a,regular,6,f1,-0.012910669835778071,0.9471602285408243,0.009421079992933512
fullcatalog,n/a,regular,7,f1,-0.016514090839974134,0.8716487581977482,0.014962246989779826
fullcatalog,n/a,regular,8,f1,-0.015254379489009508,0.913162021427506,0.01134014113046479
fullcatalog,n/a,regular,9,f1,-0.002375790545809254,0.27772380077148745,0.0042184687805320725
fullcatalog,n/a,trend,0,f1,-0.014602226698518565,0.5636120256371431,0.015195036861586256
fullcatalog,n/a,trend,1,f1,-0.010418849868003614,0.5006850882765902,0.015407206819721492
fullcatalog,n/a,trend,2,f1,-0.020968442423492592,0.9358034515236989,0.015042926752347363
fullcatalog,n/a,trend,3,f1,-0.032788397118093865,0.9429751822954077,0.022603715494976646
fullcatalog,n/a,trend,4,f1,-0.026164031075647798,0.9069195203255743,0.020251550729264246
fullcatalog,n/a,trend,5,f1,-0.015551971365238183,0.7923689524266105,0.011713130732738573
fullcatalog,n/a,trend,6,f1,-0.006833343842437322,0.5132208582235328,0.007583601341771273
fullcatalog,n/a,trend,7,f1,-0.03492979245207829,0.8901220316097046,0.024746720079200896
fullcatalog,n/a,trend,8,f1,0.0006222249782735185,0.004145689965621818,0.007427879770121604
fullcatalog,n/a,trend,9,f1,0.006040675050979904,0.5394972648318092,0.007214130271236317
testonly,test_final,new,0,f1,0.34773809523809524,0.7846023164534597,0.28285714285714286
testonly,test_final,new,1,f1,0.3139694041867955,0.7616710695632618,0.29299516908212564
testonly,test_final,new,2,f1,0.3691542288557214,0.8605061104982308,0.33109452736318407
testonly,test_final,new,3,f1,0.3587121212121213,0.8303504811526756,0.292929292929293
testonly,test_final,new,4,f1,0.3884888888888889,0.7728206759883591,0.3253333333333333
testonly,test_final,new,5,f1,0.3843981481481481,0.9155798954353689,0.3333333333333333
testonly,test_final,new,6,f1,0.35205205205205203,0.8037217858160831,0.3546546546546547
testonly,test_final,new,7,f1,0.3858585858585859,0.8088315719459022,0.34545454545454546
testonly,test_final,new,8,f1,0.2515151515151516,0.6555171806167404,0.2484848484848485
testonly,test_final,new,9,f1,0.2565217391304348,0.7308223320431295,0.21449275362318843
testonly,val_inner,new,0,f1,0.3766499582289056,0.871761248245533,0.33107769423558897
testonly,val_inner,new,1,f1,0.3700918964076858,0.8031742974184243,0.31704260651629074
testonly,val_inner,new,2,f1,0.411323155216285,0.8032716866599519,0.34885496183206105
testonly,val_inner,new,3,f1,0.28893065998329154,0.893477774521504,0.22406015037593988
testonly,val_inner,new,4,f1,0.40729166666666666,0.7839917266371514,0.3359375
testonly,val_inner,new,5,f1,0.41847335140018077,0.7732745201428599,0.3788617886178862
testonly,val_inner,new,6,f1,0.3644083107497742,0.7994392401543613,0.3005420054200542
testonly,val_inner,new,7,f1,0.44362318840579706,0.766681747806411,0.3715942028985507
testonly,val_inner,new,8,f1,0.24270244821092285,0.6810308875176746,0.23333333333333334
testonly,val_inner,new,9,f1,0.33439814814814817,0.8736984941913898,0.3047222222222222
testonly,test_final,regular,0,f1,0.6564249340200786,0.9366941996583524,0.4734541844450675
testonly,test_final,regular,1,f1,0.5969886258728546,0.9229925841523857,0.4670397538270338
testonly,test_final,regular,2,f1,0.7322421808546119,0.9525834355230011,0.5756558102799537
testonly,test_final,regular,3,f1,0.7496806654555775,0.9203946358197559,0.5360930617139213
testonly,test_final,regular,4,f1,0.6040762979064664,0.940366412913859,0.4800796208173367
testonly,test_final,regular,5,f1,0.6055596336686789,0.935440554301105,0.48724997301995876
testonly,test_final,regular,6,f1,0.6476422264815905,0.9803909355463013,0.5079588514368572
testonly,test_final,regular,7,f1,0.6845178499913854,0.942019939779216,0.553164952449494
testonly,test_final,regular,8,f1,0.568014973049137,0.9853112693213065,0.4479243148080827
testonly,test_final,regular,9,f1,0.6483883992012995,0.9063231185747533,0.5101287263883783
testonly,val_inner,regular,0,f1,0.6188070690820194,0.942768455420928,0.4845769788136109
testonly,val_inner,regular,1,f1,0.660853223550895,0.9166437039016349,0.5044935016035113
testonly,val_inner,regular,2,f1,0.753852433776341,0.9449715756366991,0.5987513870274443
testonly,val_inner,regular,3,f1,0.7641121805724314,0.908047263846783,0.6037101109669225
testonly,val_inner,regular,4,f1,0.6219875357128125,0.9474723473887942,0.4836724033377431
testonly,val_inner,regular,5,f1,0.653707498253065,0.9271501774968315,0.5211844978360254
testonly,val_inner,regular,6,f1,0.6532088113662565,0.9782965723154264,0.5111244051509176
testonly,val_inner,regular,7,f1,0.7208706797175259,0.8844763220594403,0.5916708850590522
testonly,val_inner,regular,8,f1,0.6687067314358518,0.9617417564918419,0.5119240344409791
testonly,val_inner,regular,9,f1,0.6216528941583614,0.9307950025796595,0.47079893821974766
testonly,test_final,trend,0,f1,0.9785418108271422,0.9451172242492452,0.6525551092366949
testonly,test_final,trend,1,f1,0.8499366198448465,0.8935290084350893,0.6279815054472286
testonly,test_final,trend,2,f1,1.0182932347682456,0.9572158230040704,0.7345737166170602
testonly,test_final,trend,3,f1,0.9932082146790967,0.9613262533344362,0.7324623804121759
testonly,test_final,trend,4,f1,0.9469042608177028,0.9406418139659843,0.6760233026777145
